,Survived,Pclass,Sex,Age,Fare,Embarked,Family
871,1,1,1,2,3,0,3
872,0,1,0,2,0,0,1
873,0,3,0,2,1,0,1
874,1,2,1,1,2,1,2
875,1,3,1,0,0,1,1
876,0,3,0,1,1,0,1
877,0,3,0,1,0,0,1
878,0,3,0,1,0,0,1
879,1,1,1,3,3,1,2
880,1,2,1,1,2,0,2
881,0,3,0,2,0,0,1
882,0,3,1,1,1,0,1
883,0,2,0,1,1,0,1
884,0,3,0,1,0,0,1
885,0,3,1,2,2,2,6
886,0,2,0,1,1,0,1
887,1,1,1,1,2,0,1
888,0,3,1,1,2,0,4
889,1,1,0,1,2,1,1
890,0,3,0,1,0,2,1
